[2026-04-04 03:30:42] === AlphaZero Loop Start (iteration=330, games=300, sims=64+0/iter, max=64, min_chain=0) ===
[2026-04-04 03:30:42] --- Iteration 330 (sims=64, global_step=329000) ---
[2026-04-04 03:30:42] Self-play start (m=16, c_visit=50.0)
    Finished `release` profile [optimized] target(s) in 4.20s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --output data/alphazero_iter_330.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Loaded existing model from artifacts/puyo_model
Using 128 game threads, max_batch_size=128
[  59/300] samples:   2880 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 11260/8308 | 3.45 games/s | ETA: 70s
[  60/300] samples:   2930 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6960/8286 | 3.50 games/s | ETA: 68s
[  61/300] samples:   2980 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 5240/8236 | 3.56 games/s | ETA: 67s
[  62/300] samples:   3030 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 6900/8214 | 3.62 games/s | ETA: 66s
[  63/300] samples:   3080 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10180/8245 | 3.67 games/s | ETA: 65s
[  64/300] samples:   3130 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9880/8271 | 3.73 games/s | ETA: 63s
[  65/300] samples:   3180 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8870/8280 | 3.79 games/s | ETA: 62s
[  66/300] samples:   3230 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8300/8280 | 3.84 games/s | ETA: 61s
[  67/300] samples:   3280 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7820/8273 | 3.90 games/s | ETA: 60s
[  68/300] samples:   3330 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 11780/8325 | 3.96 games/s | ETA: 59s
[  69/300] samples:   3380 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8120/8322 | 4.01 games/s | ETA: 58s
[  70/300] samples:   3430 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8000/8317 | 4.07 games/s | ETA: 57s
[  71/300] samples:   3480 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8580/8321 | 4.13 games/s | ETA: 55s
[  72/300] samples:   3530 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10180/8347 | 4.18 games/s | ETA: 54s
[  73/300] samples:   3580 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7690/8338 | 4.24 games/s | ETA: 54s
[  74/300] samples:   3630 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10240/8364 | 4.30 games/s | ETA: 53s
[  75/300] samples:   3680 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8700/8368 | 4.35 games/s | ETA: 52s
[  76/300] samples:   3730 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7740/8360 | 4.41 games/s | ETA: 51s
[  77/300] samples:   3780 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7780/8352 | 4.46 games/s | ETA: 50s
[  78/300] samples:   3830 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10080/8374 | 4.51 games/s | ETA: 49s
[  79/300] samples:   3880 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9690/8391 | 4.56 games/s | ETA: 48s
[  80/300] samples:   3930 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8440/8392 | 4.62 games/s | ETA: 48s
[  81/300] samples:   3980 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7400/8380 | 4.67 games/s | ETA: 47s
[  82/300] samples:   4030 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9740/8396 | 4.72 games/s | ETA: 46s
[  83/300] samples:   4080 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9040/8404 | 4.77 games/s | ETA: 46s
[  84/300] samples:   4130 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 11260/8438 | 4.83 games/s | ETA: 45s
[  85/300] samples:   4180 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7390/8426 | 4.88 games/s | ETA: 44s
[  86/300] samples:   4230 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8960/8432 | 4.94 games/s | ETA: 43s
[  87/300] samples:   4280 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9680/8446 | 4.99 games/s | ETA: 43s
[  88/300] samples:   4330 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9460/8458 | 5.05 games/s | ETA: 42s
[  89/300] samples:   4380 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9660/8471 | 5.11 games/s | ETA: 41s
[  90/300] samples:   4430 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6840/8453 | 5.16 games/s | ETA: 41s
[  91/300] samples:   4480 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8920/8458 | 5.21 games/s | ETA: 40s
[  92/300] samples:   4530 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9930/8474 | 5.27 games/s | ETA: 39s
[  93/300] samples:   4580 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8660/8476 | 5.33 games/s | ETA: 39s
[  94/300] samples:   4630 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8780/8479 | 5.38 games/s | ETA: 38s
[  95/300] samples:   4680 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7820/8472 | 5.43 games/s | ETA: 38s
[  96/300] samples:   4730 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7040/8458 | 5.49 games/s | ETA: 37s
[  97/300] samples:   4780 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7100/8444 | 5.54 games/s | ETA: 37s
[  98/300] samples:   4830 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8480/8444 | 5.60 games/s | ETA: 36s
[  99/300] samples:   4880 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7800/8437 | 5.63 games/s | ETA: 36s
[ 100/300] samples:   4930 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7140/8424 | 5.68 games/s | ETA: 35s
[ 101/300] samples:   4941 | chain(game/max/avg): 0/5/3.6 | reward(game/avg): 0/8341 | 5.13 games/s | ETA: 39s
[ 102/300] samples:   4991 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9320/8351 | 5.16 games/s | ETA: 38s
[ 103/300] samples:   5011 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 1720/8286 | 4.16 games/s | ETA: 47s
[ 104/300] samples:   5040 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 4400/8249 | 3.65 games/s | ETA: 54s
[ 105/300] samples:   5069 | chain(game/max/avg): 2/5/3.6 | reward(game/avg): 2100/8190 | 3.48 games/s | ETA: 56s
