[2026-04-03 13:02:36] === AlphaZero Loop Start (iteration=169, games=300, sims=64+0/iter, max=64, min_chain=0) ===
[2026-04-03 13:02:36] --- Iteration 169 (sims=64, global_step=168000) ---
[2026-04-03 13:02:36] Self-play start (m=16, c_visit=50.0)
   Compiling az-framework v0.1.0 (/workspaces/puyopuyo-ai/crates/az-framework)
   Compiling puyo-player v0.1.0 (/workspaces/puyopuyo-ai/crates/puyo/puyo-player)
   Compiling puyo-trainer v0.1.0 (/workspaces/puyopuyo-ai/crates/puyo/puyo-trainer)
    Finished `release` profile [optimized] target(s) in 54.14s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --output data/alphazero_iter_169.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Loaded existing model from artifacts/puyo_model
Using 128 game threads, max_batch_size=128
[ 190/300] samples:   9195 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9900/7824 | 4.58 games/s | ETA: 24s
[ 191/300] samples:   9245 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9520/7833 | 4.60 games/s | ETA: 24s
[ 192/300] samples:   9295 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7400/7831 | 4.62 games/s | ETA: 23s
[ 193/300] samples:   9345 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6720/7825 | 4.64 games/s | ETA: 23s
[ 194/300] samples:   9395 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7100/7821 | 4.66 games/s | ETA: 23s
[ 195/300] samples:   9445 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8520/7825 | 4.67 games/s | ETA: 22s
[ 196/300] samples:   9495 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 5580/7814 | 4.70 games/s | ETA: 22s
[ 197/300] samples:   9545 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 7920/7814 | 4.72 games/s | ETA: 22s
[ 198/300] samples:   9595 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8360/7817 | 4.74 games/s | ETA: 22s
[ 199/300] samples:   9645 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9880/7827 | 4.76 games/s | ETA: 21s
[ 200/300] samples:   9695 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7740/7827 | 4.78 games/s | ETA: 21s
[ 201/300] samples:   9745 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9040/7833 | 4.80 games/s | ETA: 21s
[ 202/300] samples:   9795 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8730/7837 | 4.66 games/s | ETA: 21s
[ 203/300] samples:   9806 | chain(game/max/avg): 0/5/3.5 | reward(game/avg): 0/7799 | 4.65 games/s | ETA: 21s
[ 204/300] samples:   9856 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7440/7797 | 4.47 games/s | ETA: 21s
[ 205/300] samples:   9906 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7590/7796 | 4.42 games/s | ETA: 21s
[ 206/300] samples:   9956 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8480/7799 | 4.39 games/s | ETA: 21s
[ 207/300] samples:  10006 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6980/7795 | 4.23 games/s | ETA: 22s
[ 208/300] samples:  10056 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7620/7794 | 4.19 games/s | ETA: 22s
[ 209/300] samples:  10087 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 3780/7775 | 4.11 games/s | ETA: 22s
[ 210/300] samples:  10137 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 10190/7787 | 4.12 games/s | ETA: 22s
[ 211/300] samples:  10187 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6030/7778 | 4.09 games/s | ETA: 22s
[ 212/300] samples:  10237 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 10040/7789 | 4.09 games/s | ETA: 22s
[ 213/300] samples:  10274 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 4480/7773 | 3.93 games/s | ETA: 22s
[ 214/300] samples:  10321 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 3940/7756 | 3.83 games/s | ETA: 22s
[ 215/300] samples:  10371 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7640/7755 | 3.83 games/s | ETA: 22s
[ 216/300] samples:  10421 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 5760/7746 | 3.85 games/s | ETA: 22s
[ 217/300] samples:  10466 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 7400/7744 | 3.82 games/s | ETA: 22s
[ 218/300] samples:  10508 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 5520/7734 | 3.79 games/s | ETA: 22s
[ 219/300] samples:  10558 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 6980/7731 | 3.72 games/s | ETA: 22s
[ 220/300] samples:  10608 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9960/7741 | 3.72 games/s | ETA: 22s
[ 221/300] samples:  10658 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 7760/7741 | 3.68 games/s | ETA: 21s
[ 222/300] samples:  10708 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8340/7743 | 3.69 games/s | ETA: 21s
[ 223/300] samples:  10758 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9750/7752 | 3.69 games/s | ETA: 21s
[ 224/300] samples:  10808 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8800/7757 | 3.69 games/s | ETA: 21s
[ 225/300] samples:  10858 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6900/7753 | 3.69 games/s | ETA: 20s
[ 226/300] samples:  10908 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8300/7756 | 3.70 games/s | ETA: 20s
[ 227/300] samples:  10958 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 10080/7766 | 3.71 games/s | ETA: 20s
[ 228/300] samples:  11008 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 9680/7774 | 3.70 games/s | ETA: 19s
[ 229/300] samples:  11058 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9960/7784 | 3.70 games/s | ETA: 19s
[ 230/300] samples:  11108 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8180/7786 | 3.72 games/s | ETA: 19s
[ 231/300] samples:  11158 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6220/7779 | 3.72 games/s | ETA: 19s
[ 232/300] samples:  11208 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9990/7788 | 3.73 games/s | ETA: 18s
[ 233/300] samples:  11258 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7100/7785 | 3.72 games/s | ETA: 18s
[ 234/300] samples:  11308 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 10760/7798 | 3.74 games/s | ETA: 18s
[ 235/300] samples:  11358 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9860/7807 | 3.75 games/s | ETA: 17s
[ 236/300] samples:  11408 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9180/7813 | 3.70 games/s | ETA: 17s
[ 237/300] samples:  11458 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 11880/7830 | 3.70 games/s | ETA: 17s
[ 238/300] samples:  11508 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 7960/7830 | 3.72 games/s | ETA: 17s
[ 239/300] samples:  11558 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8850/7835 | 3.73 games/s | ETA: 16s
[ 240/300] samples:  11608 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9540/7842 | 3.74 games/s | ETA: 16s
[ 241/300] samples:  11658 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9690/7850 | 3.76 games/s | ETA: 16s
[ 242/300] samples:  11708 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 7760/7849 | 3.78 games/s | ETA: 15s
[ 243/300] samples:  11758 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6920/7845 | 3.79 games/s | ETA: 15s
[ 244/300] samples:  11808 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 8580/7848 | 3.80 games/s | ETA: 15s
[ 245/300] samples:  11858 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6480/7843 | 3.82 games/s | ETA: 14s
[ 246/300] samples:  11908 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6490/7837 | 3.83 games/s | ETA: 14s
[ 247/300] samples:  11958 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6690/7833 | 3.85 games/s | ETA: 14s
[ 248/300] samples:  12008 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6980/7829 | 3.86 games/s | ETA: 13s
[ 249/300] samples:  12058 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 10780/7841 | 3.88 games/s | ETA: 13s
[ 250/300] samples:  12108 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7220/7839 | 3.89 games/s | ETA: 13s
[ 251/300] samples:  12158 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7350/7837 | 3.90 games/s | ETA: 13s
[ 252/300] samples:  12208 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 7940/7837 | 3.90 games/s | ETA: 12s
[ 253/300] samples:  12258 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 7320/7835 | 3.92 games/s | ETA: 12s
[ 254/300] samples:  12308 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7920/7835 | 3.93 games/s | ETA: 12s
[ 255/300] samples:  12358 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6380/7830 | 3.94 games/s | ETA: 11s
[ 256/300] samples:  12408 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8020/7830 | 3.96 games/s | ETA: 11s
[ 257/300] samples:  12458 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 10850/7842 | 3.97 games/s | ETA: 11s
[ 258/300] samples:  12508 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9060/7847 | 3.99 games/s | ETA: 11s
[ 259/300] samples:  12558 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8020/7847 | 4.00 games/s | ETA: 10s
[ 260/300] samples:  12608 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6680/7843 | 4.02 games/s | ETA: 10s
[ 261/300] samples:  12658 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8820/7847 | 4.03 games/s | ETA: 10s
[ 262/300] samples:  12708 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7470/7845 | 4.05 games/s | ETA: 9s
[ 263/300] samples:  12758 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 11240/7858 | 4.06 games/s | ETA: 9s
[ 264/300] samples:  12808 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8520/7861 | 4.08 games/s | ETA: 9s
[ 265/300] samples:  12858 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9240/7866 | 4.09 games/s | ETA: 9s
[ 266/300] samples:  12908 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7190/7863 | 4.11 games/s | ETA: 8s
[ 267/300] samples:  12958 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8700/7866 | 4.08 games/s | ETA: 8s
[ 268/300] samples:  13008 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7440/7865 | 4.09 games/s | ETA: 8s
[ 269/300] samples:  13058 | chain(game/max/avg): 5/5/3.5 | reward(game/avg): 11880/7880 | 4.11 games/s | ETA: 8s
[ 270/300] samples:  13108 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 7710/7879 | 4.12 games/s | ETA: 7s
[ 271/300] samples:  13158 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6500/7874 | 4.14 games/s | ETA: 7s
[ 272/300] samples:  13208 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 6140/7868 | 4.15 games/s | ETA: 7s
[ 273/300] samples:  13258 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8540/7870 | 4.16 games/s | ETA: 6s
[ 274/300] samples:  13308 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7820/7870 | 4.18 games/s | ETA: 6s
[ 275/300] samples:  13358 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6380/7865 | 4.19 games/s | ETA: 6s
[ 276/300] samples:  13408 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9520/7871 | 4.20 games/s | ETA: 6s
[ 277/300] samples:  13458 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7970/7871 | 4.22 games/s | ETA: 5s
[ 278/300] samples:  13508 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7000/7868 | 4.23 games/s | ETA: 5s
[ 279/300] samples:  13558 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 10580/7878 | 4.25 games/s | ETA: 5s
[ 280/300] samples:  13608 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7100/7875 | 4.26 games/s | ETA: 5s
[ 281/300] samples:  13658 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 4760/7864 | 4.27 games/s | ETA: 4s
[ 282/300] samples:  13708 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 7120/7861 | 4.28 games/s | ETA: 4s
[ 283/300] samples:  13758 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9870/7868 | 4.29 games/s | ETA: 4s
[ 284/300] samples:  13808 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7920/7868 | 4.30 games/s | ETA: 4s
[ 285/300] samples:  13858 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6520/7864 | 4.32 games/s | ETA: 3s
[ 286/300] samples:  13908 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8900/7867 | 4.33 games/s | ETA: 3s
[ 287/300] samples:  13958 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 10100/7875 | 4.34 games/s | ETA: 3s
[ 288/300] samples:  14008 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 7980/7875 | 4.36 games/s | ETA: 3s
[ 289/300] samples:  14058 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7560/7874 | 4.37 games/s | ETA: 3s
[ 290/300] samples:  14108 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8200/7875 | 4.35 games/s | ETA: 2s
[ 291/300] samples:  14158 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8540/7878 | 4.37 games/s | ETA: 2s
[ 292/300] samples:  14208 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8600/7880 | 4.36 games/s | ETA: 2s
[ 293/300] samples:  14258 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7220/7878 | 4.37 games/s | ETA: 2s
[ 294/300] samples:  14308 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8000/7878 | 4.39 games/s | ETA: 1s
[ 295/300] samples:  14358 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9500/7884 | 4.40 games/s | ETA: 1s
[ 296/300] samples:  14408 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 6960/7881 | 4.41 games/s | ETA: 1s
[ 297/300] samples:  14458 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 5960/7874 | 4.42 games/s | ETA: 1s
[ 298/300] samples:  14508 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7370/7873 | 4.43 games/s | ETA: 0s
[ 299/300] samples:  14558 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6060/7866 | 4.45 games/s | ETA: 0s
[ 300/300] samples:  14608 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 11140/7877 | 4.45 games/s | ETA: 0s
Self-play complete: 300 games, 14608 samples, max chain: 5
Saved to data/alphazero_iter_174.bin
[2026-04-03 13:29:50] Removing old data: data/alphazero_iter_144.bin
[2026-04-03 13:29:52] Train start (AlphaZero mode, replay buffer, global_step=173000)
    Finished `release` profile [optimized] target(s) in 3.63s
     Running `target/release/train --alphazero --data-dir data --global-step 173000`
Backend: CUDA (GPU)
Mode: AlphaZero (Policy CE + Value MSE)
Loading AlphaZero datasets from data...
Found 30 data files
  Loaded 14801 samples from data/alphazero_iter_145.bin
  Loaded 14754 samples from data/alphazero_iter_146.bin
  Loaded 14804 samples from data/alphazero_iter_147.bin
  Loaded 14933 samples from data/alphazero_iter_148.bin
  Loaded 14658 samples from data/alphazero_iter_149.bin
  Loaded 14608 samples from data/alphazero_iter_150.bin
  Loaded 14842 samples from data/alphazero_iter_151.bin
  Loaded 14724 samples from data/alphazero_iter_152.bin
  Loaded 14891 samples from data/alphazero_iter_153.bin
  Loaded 14732 samples from data/alphazero_iter_154.bin
  Loaded 14704 samples from data/alphazero_iter_155.bin
  Loaded 14799 samples from data/alphazero_iter_156.bin
  Loaded 14861 samples from data/alphazero_iter_157.bin
  Loaded 14843 samples from data/alphazero_iter_158.bin
  Loaded 14662 samples from data/alphazero_iter_159.bin
  Loaded 14923 samples from data/alphazero_iter_160.bin
  Loaded 14858 samples from data/alphazero_iter_161.bin
  Loaded 14875 samples from data/alphazero_iter_162.bin
  Loaded 14830 samples from data/alphazero_iter_163.bin
  Loaded 14717 samples from data/alphazero_iter_164.bin
  Loaded 14778 samples from data/alphazero_iter_165.bin
  Loaded 14761 samples from data/alphazero_iter_166.bin
  Loaded 14779 samples from data/alphazero_iter_167.bin
  Loaded 14673 samples from data/alphazero_iter_168.bin
  Loaded 14809 samples from data/alphazero_iter_169.bin
  Loaded 14817 samples from data/alphazero_iter_170.bin
  Loaded 14940 samples from data/alphazero_iter_171.bin
  Loaded 14935 samples from data/alphazero_iter_172.bin
  Loaded 14858 samples from data/alphazero_iter_173.bin
  Loaded 14608 samples from data/alphazero_iter_174.bin
Loaded 443777 total samples
Train: 443777 samples (color augmented on-the-fly, no val split)
Loaded existing model from artifacts/puyo_model
AlphaZero training: 1000 steps, global_step=173000, LR 2e-4 (end ~2e-4)
  step 50/1000 p_loss=1.3409 v_loss=0.2481 lr=0.000200  step 100/1000 p_loss=1.3441 v_loss=0.2482 lr=0.000200  step 150/1000 p_loss=1.3428 v_loss=0.2482 lr=0.000200  step 200/1000 p_loss=1.3435 v_loss=0.2488 lr=0.000200  step 250/1000 p_loss=1.3430 v_loss=0.2493 lr=0.000200  step 300/1000 p_loss=1.3433 v_loss=0.2486 lr=0.000200  step 350/1000 p_loss=1.3432 v_loss=0.2484 lr=0.000200  step 400/1000 p_loss=1.3441 v_loss=0.2484 lr=0.000200  step 450/1000 p_loss=1.3435 v_loss=0.2482 lr=0.000200  step 500/1000 p_loss=1.3432 v_loss=0.2487 lr=0.000200  step 550/1000 p_loss=1.3434 v_loss=0.2484 lr=0.000200  step 600/1000 p_loss=1.3439 v_loss=0.2482 lr=0.000200  step 650/1000 p_loss=1.3439 v_loss=0.2476 lr=0.000200  step 700/1000 p_loss=1.3444 v_loss=0.2475 lr=0.000200  step 750/1000 p_loss=1.3442 v_loss=0.2471 lr=0.000200  step 800/1000 p_loss=1.3439 v_loss=0.2470 lr=0.000200  step 850/1000 p_loss=1.3439 v_loss=0.2468 lr=0.000200  step 900/1000 p_loss=1.3438 v_loss=0.2465 lr=0.000200  step 950/1000 p_loss=1.3439 v_loss=0.2465 lr=0.000200  step 1000/1000 p_loss=1.3437 v_loss=0.2466 lr=0.000200
AlphaZero training complete. final train_loss(p=1.343681, v=0.246633) global_step=174000
[2026-04-03 13:33:17] === Iteration 174 complete ===
[2026-04-03 13:33:17] --- Iteration 175 (sims=64, global_step=174000) ---
[2026-04-03 13:33:17] Self-play start (m=16, c_visit=50.0)
    Finished `release` profile [optimized] target(s) in 5.50s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --output data/alphazero_iter_175.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Loaded existing model from artifacts/puyo_model
Using 128 game threads, max_batch_size=128
[   1/300] samples:     33 | chain(game/max/avg): 3/3/3.0 | reward(game/avg): 2800/2800 | 0.06 games/s | ETA: 4793s
[   2/300] samples:     74 | chain(game/max/avg): 3/3/3.0 | reward(game/avg): 4140/3470 | 0.11 games/s | ETA: 2802s
[   3/300] samples:     88 | chain(game/max/avg): 1/3/2.3 | reward(game/avg): 100/2347 | 0.15 games/s | ETA: 2040s
[   4/300] samples:    138 | chain(game/max/avg): 4/4/2.8 | reward(game/avg): 9140/4045 | 0.17 games/s | ETA: 1699s
[   5/300] samples:    188 | chain(game/max/avg): 3/4/2.8 | reward(game/avg): 7600/4756 | 0.21 games/s | ETA: 1374s
[   6/300] samples:    238 | chain(game/max/avg): 4/4/3.0 | reward(game/avg): 6680/5077 | 0.26 games/s | ETA: 1142s
[   7/300] samples:    288 | chain(game/max/avg): 3/4/3.0 | reward(game/avg): 8220/5526 | 0.30 games/s | ETA: 984s
[   8/300] samples:    338 | chain(game/max/avg): 4/4/3.1 | reward(game/avg): 11220/6238 | 0.34 games/s | ETA: 861s
[   9/300] samples:    388 | chain(game/max/avg): 3/4/3.1 | reward(game/avg): 7520/6380 | 0.38 games/s | ETA: 763s
[  10/300] samples:    438 | chain(game/max/avg): 4/4/3.2 | reward(game/avg): 7160/6458 | 0.42 games/s | ETA: 685s
[  11/300] samples:    488 | chain(game/max/avg): 4/4/3.3 | reward(game/avg): 8380/6633 | 0.47 games/s | ETA: 621s
[  12/300] samples:    538 | chain(game/max/avg): 4/4/3.3 | reward(game/avg): 8840/6817 | 0.51 games/s | ETA: 569s
[  13/300] samples:    588 | chain(game/max/avg): 3/4/3.3 | reward(game/avg): 6620/6802 | 0.55 games/s | ETA: 523s
[  14/300] samples:    638 | chain(game/max/avg): 3/4/3.3 | reward(game/avg): 5960/6741 | 0.59 games/s | ETA: 485s
[  15/300] samples:    688 | chain(game/max/avg): 4/4/3.3 | reward(game/avg): 7780/6811 | 0.63 games/s | ETA: 453s
[  16/300] samples:    738 | chain(game/max/avg): 4/4/3.4 | reward(game/avg): 8830/6937 | 0.67 games/s | ETA: 423s
[  17/300] samples:    788 | chain(game/max/avg): 4/4/3.4 | reward(game/avg): 8440/7025 | 0.71 games/s | ETA: 397s
[  18/300] samples:    838 | chain(game/max/avg): 4/4/3.4 | reward(game/avg): 8420/7103 | 0.75 games/s | ETA: 375s
[  19/300] samples:    888 | chain(game/max/avg): 2/4/3.4 | reward(game/avg): 5100/6997 | 0.79 games/s | ETA: 354s
[  20/300] samples:    938 | chain(game/max/avg): 4/4/3.4 | reward(game/avg): 10040/7150 | 0.84 games/s | ETA: 335s
[  21/300] samples:    988 | chain(game/max/avg): 3/4/3.4 | reward(game/avg): 7220/7153 | 0.88 games/s | ETA: 318s
[  22/300] samples:   1038 | chain(game/max/avg): 5/5/3.5 | reward(game/avg): 10820/7320 | 0.92 games/s | ETA: 303s
[  23/300] samples:   1088 | chain(game/max/avg): 5/5/3.5 | reward(game/avg): 11240/7490 | 0.96 games/s | ETA: 289s
[  24/300] samples:   1138 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8260/7522 | 1.00 games/s | ETA: 276s
[  25/300] samples:   1188 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8900/7577 | 1.04 games/s | ETA: 264s
[  26/300] samples:   1238 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7180/7562 | 1.08 games/s | ETA: 253s
[  27/300] samples:   1288 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6400/7519 | 1.12 games/s | ETA: 243s
[  28/300] samples:   1338 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8430/7551 | 1.16 games/s | ETA: 234s
[  29/300] samples:   1388 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 6860/7528 | 1.20 games/s | ETA: 225s
[  30/300] samples:   1438 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8100/7547 | 1.24 games/s | ETA: 217s
[  31/300] samples:   1488 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7510/7545 | 1.28 games/s | ETA: 210s
[  32/300] samples:   1538 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7900/7557 | 1.32 games/s | ETA: 202s
[  33/300] samples:   1588 | chain(game/max/avg): 5/5/3.6 | reward(game/avg): 9560/7617 | 1.36 games/s | ETA: 196s
[  34/300] samples:   1638 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9480/7672 | 1.40 games/s | ETA: 190s
[  35/300] samples:   1688 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9960/7737 | 1.44 games/s | ETA: 184s
[  36/300] samples:   1738 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9410/7784 | 1.48 games/s | ETA: 178s
[  37/300] samples:   1788 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 4780/7703 | 1.52 games/s | ETA: 173s
[  38/300] samples:   1838 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 11020/7790 | 1.56 games/s | ETA: 168s
[  39/300] samples:   1888 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10800/7867 | 1.60 games/s | ETA: 163s
[  40/300] samples:   1938 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8040/7872 | 1.64 games/s | ETA: 158s
[  41/300] samples:   1988 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7220/7856 | 1.68 games/s | ETA: 154s
[  42/300] samples:   2038 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8960/7882 | 1.72 games/s | ETA: 150s
[  43/300] samples:   2088 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6680/7854 | 1.76 games/s | ETA: 146s
[  44/300] samples:   2138 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10560/7915 | 1.80 games/s | ETA: 142s
[  45/300] samples:   2188 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 4580/7841 | 1.84 games/s | ETA: 138s
[  46/300] samples:   2238 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6080/7803 | 1.88 games/s | ETA: 135s
[  47/300] samples:   2288 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8060/7809 | 1.92 games/s | ETA: 132s
[  48/300] samples:   2338 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9420/7842 | 1.96 games/s | ETA: 129s
[  49/300] samples:   2388 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9830/7883 | 2.00 games/s | ETA: 126s
[  50/300] samples:   2438 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8520/7895 | 2.04 games/s | ETA: 123s
[  51/300] samples:   2488 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 11110/7958 | 2.08 games/s | ETA: 120s
[  52/300] samples:   2538 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7100/7942 | 2.12 games/s | ETA: 117s
[  53/300] samples:   2588 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8300/7949 | 2.16 games/s | ETA: 114s
[  54/300] samples:   2638 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10020/7987 | 2.20 games/s | ETA: 112s
[  55/300] samples:   2688 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6900/7967 | 2.24 games/s | ETA: 109s
[  56/300] samples:   2738 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6580/7942 | 2.28 games/s | ETA: 107s
