[2026-03-29 21:46:35] === AlphaZero Loop Start (iteration=1, games=300, sims=64+0/iter, max=64, min_chain=0) ===
[2026-03-29 21:46:35] --- Iteration 1 (sims=64, global_step=0) ---
[2026-03-29 21:46:35] Self-play start (m=16, c_visit=50.0)
    Finished `release` profile [optimized] target(s) in 5.65s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --output data/alphazero_iter_1.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Failed to load model from artifacts/puyo_model: FileNotFound("No such file or directory (os error 2)"). Initializing random weights
Using 128 game threads, max_batch_size=128
[ 110/300] samples:    753 | chain(game/max/avg): 2/2/0.8 | reward(game/avg): 860/134 | 6.70 games/s | ETA: 28s
[ 111/300] samples:    767 | chain(game/max/avg): 2/2/0.8 | reward(game/avg): 720/139 | 6.72 games/s | ETA: 28s
[ 112/300] samples:    782 | chain(game/max/avg): 2/2/0.8 | reward(game/avg): 540/143 | 6.77 games/s | ETA: 28s
[ 113/300] samples:    788 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 40/142 | 6.83 games/s | ETA: 27s
[ 114/300] samples:    798 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 280/143 | 6.87 games/s | ETA: 27s
[ 115/300] samples:    811 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 200/144 | 6.89 games/s | ETA: 27s
[ 116/300] samples:    816 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 40/143 | 6.93 games/s | ETA: 27s
[ 117/300] samples:    829 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 200/143 | 6.97 games/s | ETA: 26s
[ 118/300] samples:    843 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 260/144 | 6.96 games/s | ETA: 26s
[ 119/300] samples:    867 | chain(game/max/avg): 2/2/0.8 | reward(game/avg): 980/151 | 6.88 games/s | ETA: 26s
[ 120/300] samples:    887 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 600/155 | 6.89 games/s | ETA: 26s
[ 121/300] samples:    908 | chain(game/max/avg): 2/2/0.8 | reward(game/avg): 1180/163 | 6.90 games/s | ETA: 26s
[ 122/300] samples:    929 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 500/166 | 6.96 games/s | ETA: 26s
[ 123/300] samples:    937 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 140/166 | 7.00 games/s | ETA: 25s
[ 124/300] samples:    948 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 260/167 | 7.04 games/s | ETA: 25s
[ 125/300] samples:    964 | chain(game/max/avg): 2/2/0.8 | reward(game/avg): 580/170 | 7.06 games/s | ETA: 25s
[ 126/300] samples:    984 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 700/174 | 7.08 games/s | ETA: 25s
[ 127/300] samples:   1006 | chain(game/max/avg): 2/2/0.8 | reward(game/avg): 720/179 | 7.08 games/s | ETA: 24s
[ 128/300] samples:   1024 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 300/180 | 7.07 games/s | ETA: 24s
[ 129/300] samples:   1037 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 320/181 | 7.12 games/s | ETA: 24s
[ 130/300] samples:   1056 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 420/182 | 7.13 games/s | ETA: 24s
[ 131/300] samples:   1070 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 420/184 | 7.14 games/s | ETA: 24s
[ 132/300] samples:   1075 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 40/183 | 7.13 games/s | ETA: 24s
[ 133/300] samples:   1097 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 700/187 | 7.13 games/s | ETA: 23s
[ 134/300] samples:   1119 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 720/191 | 7.17 games/s | ETA: 23s
[ 135/300] samples:   1122 | chain(game/max/avg): 0/2/0.8 | reward(game/avg): 0/190 | 7.22 games/s | ETA: 23s
[ 136/300] samples:   1125 | chain(game/max/avg): 0/2/0.8 | reward(game/avg): 0/188 | 7.28 games/s | ETA: 23s
[ 137/300] samples:   1136 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 240/189 | 7.30 games/s | ETA: 22s
[ 138/300] samples:   1139 | chain(game/max/avg): 0/2/0.8 | reward(game/avg): 0/187 | 7.22 games/s | ETA: 22s
[ 139/300] samples:   1163 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 540/190 | 7.22 games/s | ETA: 22s
[ 140/300] samples:   1186 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 540/192 | 7.25 games/s | ETA: 22s
[ 141/300] samples:   1204 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 400/194 | 7.28 games/s | ETA: 22s
[ 142/300] samples:   1216 | chain(game/max/avg): 2/2/0.8 | reward(game/avg): 620/197 | 7.31 games/s | ETA: 22s
[ 143/300] samples:   1238 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 420/198 | 7.36 games/s | ETA: 21s
[ 144/300] samples:   1246 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 80/198 | 7.35 games/s | ETA: 21s
[ 145/300] samples:   1257 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 120/197 | 7.40 games/s | ETA: 21s
[ 146/300] samples:   1282 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 600/200 | 7.44 games/s | ETA: 21s
[ 147/300] samples:   1308 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 1460/208 | 7.31 games/s | ETA: 21s
[ 148/300] samples:   1323 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 340/209 | 7.35 games/s | ETA: 21s
[ 149/300] samples:   1329 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 40/208 | 7.39 games/s | ETA: 20s
[ 150/300] samples:   1354 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 800/212 | 7.39 games/s | ETA: 20s
[ 151/300] samples:   1373 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 400/213 | 7.42 games/s | ETA: 20s
[ 152/300] samples:   1376 | chain(game/max/avg): 0/2/0.9 | reward(game/avg): 0/212 | 7.47 games/s | ETA: 20s
[ 153/300] samples:   1399 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 880/216 | 7.47 games/s | ETA: 20s
[ 154/300] samples:   1402 | chain(game/max/avg): 0/2/0.9 | reward(game/avg): 0/215 | 7.49 games/s | ETA: 19s
[ 155/300] samples:   1407 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 40/214 | 7.51 games/s | ETA: 19s
