[2026-04-07 14:11:58] Pre-building release binaries...
    Finished `release` profile [optimized] target(s) in 0.31s
[2026-04-07 14:11:59] === AlphaZero Loop Start (branch=rtx5090-4, run_dir=runs/rtx5090-4, iteration=1, games=3000x1gpu, sims=512+0/iter, max=512, min_chain=0, threads=1024) ===
[2026-04-07 14:11:59] --- Iteration 1 (sims=512, global_step=0) ---
[2026-04-07 14:11:59] Self-play start (m=24, c_visit=50.0, num_gpus=1, games_per_gpu=3000, total=3000)
[gpu0]     Finished `release` profile [optimized] target(s) in 0.30s
[gpu0]      Running `target/release/self-play --games 3000 --simulations 512 --c-puct-init 1.5 --c-puct-base 19652.0 --m 24 --c-visit 50.0 --gamma 0.95 --min-chain 0 --threads 1024 --batch-size 4096 --num-leaves 1 --model-path runs/rtx5090-4/artifacts/puyo_model --cols 6 --rows 14 --num-colors 4 --residual-channels 256 --num-blocks 6 --policy-conv-channels 2 --value-conv-channels 1 --value-hidden 256 --film-hidden 256 --output runs/rtx5090-4/data/alphazero_iter_1_gpu0.bin`
[gpu0] games=3000, simulations=512, c_puct_init=1.5, c_puct_base=19652, m=24, c_visit=50, gamma=0.95, num_leaves=1, min_chain=0
[gpu0] Game config: cols=6, rows=14, num_colors=4, residual_channels=256, num_blocks=6, policy_conv_ch=2, value_conv_ch=1, value_hidden=256, film_hidden=256
[gpu0] Backend: Cuda (GPU) — Gumbel MCTS self-play (batched)
[gpu0] Failed to load model from runs/rtx5090-4/artifacts/puyo_model: FileNotFound("No such file or directory (os error 2)"). Initializing random weights
[gpu0] Using 1024 game threads, max_batch_size=4096
[gpu0] [1700/3000] samples:  85000 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3680/3576 | 0.76 games/s | ETA: 1716s
[gpu0] [1701/3000] samples:  85050 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3210/3575 | 0.76 games/s | ETA: 1714s
[gpu0] [1703/3000] samples:  85200 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3560/3577 | 0.76 games/s | ETA: 1709s
[gpu0] [1702/3000] samples:  85200 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3020/3579 | 0.76 games/s | ETA: 1712s
[gpu0] [1705/3000] samples:  85250 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3980/3575 | 0.76 games/s | ETA: 1705s
[gpu0] [1706/3000] samples:  85300 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3500/3575 | 0.76 games/s | ETA: 1702s
[gpu0] [1707/3000] samples:  85350 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4040/3575 | 0.76 games/s | ETA: 1700s
[gpu0] [1708/3000] samples:  85400 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3960/3576 | 0.76 games/s | ETA: 1698s
[gpu0] [1709/3000] samples:  85450 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3160/3575 | 0.76 games/s | ETA: 1696s
[gpu0] [1710/3000] samples:  85500 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3440/3575 | 0.76 games/s | ETA: 1693s
[gpu0] [1711/3000] samples:  85550 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3940/3576 | 0.76 games/s | ETA: 1691s
[gpu0] [1712/3000] samples:  85600 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3540/3576 | 0.76 games/s | ETA: 1689s
[gpu0] [1713/3000] samples:  85650 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3890/3576 | 0.76 games/s | ETA: 1686s
[gpu0] [1714/3000] samples:  85700 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 5160/3577 | 0.76 games/s | ETA: 1684s
[gpu0] [1715/3000] samples:  85750 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4340/3577 | 0.76 games/s | ETA: 1682s
[gpu0] [1716/3000] samples:  85800 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3260/3577 | 0.76 games/s | ETA: 1679s
[gpu0] [1717/3000] samples:  85850 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4420/3577 | 0.76 games/s | ETA: 1677s
[gpu0] [1718/3000] samples:  85900 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4940/3578 | 0.77 games/s | ETA: 1675s
[gpu0] [1719/3000] samples:  85950 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3400/3578 | 0.77 games/s | ETA: 1673s
[gpu0] [1720/3000] samples:  86000 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3080/3578 | 0.77 games/s | ETA: 1670s
[gpu0] [1721/3000] samples:  86050 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3640/3578 | 0.77 games/s | ETA: 1668s
[gpu0] [1722/3000] samples:  86100 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2750/3577 | 0.77 games/s | ETA: 1666s
[gpu0] [1723/3000] samples:  86150 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4340/3578 | 0.77 games/s | ETA: 1663s
[gpu0] [1724/3000] samples:  86200 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 4740/3578 | 0.77 games/s | ETA: 1661s
[gpu0] [1725/3000] samples:  86250 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4160/3579 | 0.77 games/s | ETA: 1659s
[gpu0] [1726/3000] samples:  86300 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3580/3579 | 0.77 games/s | ETA: 1657s
[gpu0] [1727/3000] samples:  86350 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 2860/3578 | 0.77 games/s | ETA: 1654s
[gpu0] [1728/3000] samples:  86400 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3800/3579 | 0.77 games/s | ETA: 1652s
[gpu0] [1729/3000] samples:  86450 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3660/3579 | 0.77 games/s | ETA: 1650s
[gpu0] [1730/3000] samples:  86500 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2920/3578 | 0.77 games/s | ETA: 1648s
[gpu0] [1731/3000] samples:  86550 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3680/3578 | 0.77 games/s | ETA: 1645s
[gpu0] [1732/3000] samples:  86600 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4120/3579 | 0.77 games/s | ETA: 1643s
[gpu0] [1733/3000] samples:  86650 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4460/3579 | 0.77 games/s | ETA: 1641s
[gpu0] [1734/3000] samples:  86700 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3540/3579 | 0.77 games/s | ETA: 1639s
[gpu0] [1735/3000] samples:  86750 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2880/3579 | 0.77 games/s | ETA: 1636s
[gpu0] [1736/3000] samples:  86800 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2260/3578 | 0.77 games/s | ETA: 1634s
[gpu0] [1737/3000] samples:  86850 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3460/3578 | 0.77 games/s | ETA: 1632s
[gpu0] [1738/3000] samples:  86900 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3380/3578 | 0.77 games/s | ETA: 1630s
[gpu0] [1739/3000] samples:  86950 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 4400/3578 | 0.77 games/s | ETA: 1628s
[gpu0] [1743/3000] samples:  87150 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2740/3578 | 0.78 games/s | ETA: 1619s
[gpu0] [1740/3000] samples:  87050 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3960/3580 | 0.78 games/s | ETA: 1625s
[gpu0] [1742/3000] samples:  87100 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4670/3579 | 0.78 games/s | ETA: 1621s
[gpu0] [1745/3000] samples:  87250 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2940/3578 | 0.78 games/s | ETA: 1614s
[gpu0] [1744/3000] samples:  87200 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3810/3578 | 0.78 games/s | ETA: 1616s
[gpu0] [1741/3000] samples:  87050 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2680/3578 | 0.78 games/s | ETA: 1623s
[gpu0] [1746/3000] samples:  87300 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3720/3578 | 0.78 games/s | ETA: 1612s
[gpu0] [1747/3000] samples:  87350 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3400/3578 | 0.78 games/s | ETA: 1610s
[gpu0] [1748/3000] samples:  87400 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4740/3578 | 0.78 games/s | ETA: 1608s
[gpu0] [1749/3000] samples:  87450 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2880/3578 | 0.78 games/s | ETA: 1605s
[gpu0] [1750/3000] samples:  87500 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2840/3578 | 0.78 games/s | ETA: 1603s
[gpu0] [1751/3000] samples:  87550 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 6100/3579 | 0.78 games/s | ETA: 1601s
[gpu0] [1752/3000] samples:  87600 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3380/3579 | 0.78 games/s | ETA: 1599s
[gpu0] [1753/3000] samples:  87650 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3820/3579 | 0.78 games/s | ETA: 1597s
[gpu0] [1754/3000] samples:  87700 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3700/3579 | 0.78 games/s | ETA: 1594s
[gpu0] [1755/3000] samples:  87750 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2710/3579 | 0.78 games/s | ETA: 1592s
[gpu0] [1757/3000] samples:  87850 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3100/3579 | 0.78 games/s | ETA: 1588s
[gpu0] [1756/3000] samples:  87850 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4380/3581 | 0.78 games/s | ETA: 1590s
[gpu0] [1758/3000] samples:  87900 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3830/3579 | 0.78 games/s | ETA: 1586s
[gpu0] [1759/3000] samples:  87950 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3460/3579 | 0.78 games/s | ETA: 1584s
[gpu0] [1760/3000] samples:  88000 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2480/3578 | 0.78 games/s | ETA: 1581s
[gpu0] [1761/3000] samples:  88050 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2560/3578 | 0.78 games/s | ETA: 1579s
[gpu0] [1762/3000] samples:  88100 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3580/3578 | 0.79 games/s | ETA: 1577s
[gpu0] [1763/3000] samples:  88150 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2600/3577 | 0.79 games/s | ETA: 1575s
[gpu0] [1764/3000] samples:  88200 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4840/3578 | 0.79 games/s | ETA: 1573s
[gpu0] [1765/3000] samples:  88250 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3440/3578 | 0.79 games/s | ETA: 1571s
[gpu0] [1766/3000] samples:  88300 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3740/3578 | 0.79 games/s | ETA: 1568s
[gpu0] [1767/3000] samples:  88350 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 5160/3579 | 0.79 games/s | ETA: 1566s
[gpu0] [1768/3000] samples:  88400 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4110/3579 | 0.79 games/s | ETA: 1564s
[gpu0] [1769/3000] samples:  88450 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 1900/3578 | 0.79 games/s | ETA: 1562s
[gpu0] [1770/3000] samples:  88500 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 5840/3579 | 0.79 games/s | ETA: 1560s
[gpu0] [1771/3000] samples:  88550 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2660/3579 | 0.79 games/s | ETA: 1558s
[gpu0] [1772/3000] samples:  88600 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3460/3579 | 0.79 games/s | ETA: 1555s
[gpu0] [1773/3000] samples:  88650 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 2940/3578 | 0.79 games/s | ETA: 1553s
[gpu0] [1774/3000] samples:  88700 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3940/3579 | 0.79 games/s | ETA: 1551s
[gpu0] [1775/3000] samples:  88800 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3780/3581 | 0.79 games/s | ETA: 1549s
[gpu0] [1776/3000] samples:  88800 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3700/3579 | 0.79 games/s | ETA: 1547s
[gpu0] [1777/3000] samples:  88850 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2480/3578 | 0.79 games/s | ETA: 1545s
[gpu0] [1778/3000] samples:  88900 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3700/3578 | 0.79 games/s | ETA: 1543s
[gpu0] [1779/3000] samples:  88950 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3170/3578 | 0.79 games/s | ETA: 1541s
[gpu0] [1780/3000] samples:  89000 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3590/3578 | 0.79 games/s | ETA: 1538s
[gpu0] [1784/3000] samples:  89200 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4200/3580 | 0.79 games/s | ETA: 1530s
[gpu0] [1781/3000] samples:  89050 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3430/3578 | 0.79 games/s | ETA: 1536s
[gpu0] [1782/3000] samples:  89100 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3420/3578 | 0.79 games/s | ETA: 1534s
[gpu0] [1787/3000] samples:  89350 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2260/3580 | 0.80 games/s | ETA: 1524s
[gpu0] [1785/3000] samples:  89250 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2680/3580 | 0.80 games/s | ETA: 1528s
[gpu0] [1789/3000] samples:  89450 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3320/3579 | 0.80 games/s | ETA: 1519s
[gpu0] [1790/3000] samples:  89500 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 2780/3578 | 0.80 games/s | ETA: 1517s
[gpu0] [1788/3000] samples:  89400 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2480/3579 | 0.80 games/s | ETA: 1521s
[gpu0] [1786/3000] samples:  89300 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4200/3580 | 0.80 games/s | ETA: 1526s
[gpu0] [1783/3000] samples:  89150 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 7560/3580 | 0.79 games/s | ETA: 1532s
[gpu0] [1791/3000] samples:  89550 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 5040/3579 | 0.80 games/s | ETA: 1515s
[gpu0] [1792/3000] samples:  89600 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3600/3579 | 0.80 games/s | ETA: 1513s
[gpu0] [1793/3000] samples:  89650 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4460/3580 | 0.80 games/s | ETA: 1511s
[gpu0] [1794/3000] samples:  89700 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3680/3580 | 0.80 games/s | ETA: 1509s
[gpu0] [1795/3000] samples:  89750 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3980/3580 | 0.80 games/s | ETA: 1507s
[gpu0] [1796/3000] samples:  89800 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2620/3579 | 0.80 games/s | ETA: 1505s
[gpu0] [1797/3000] samples:  89850 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4940/3580 | 0.80 games/s | ETA: 1503s
[gpu0] [1798/3000] samples:  89900 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4000/3580 | 0.80 games/s | ETA: 1501s
[gpu0] [1799/3000] samples:  89950 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4870/3581 | 0.80 games/s | ETA: 1498s
[gpu0] [1800/3000] samples:  90000 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4060/3581 | 0.80 games/s | ETA: 1496s
[gpu0] [1801/3000] samples:  90050 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 4380/3582 | 0.80 games/s | ETA: 1494s
[gpu0] [1802/3000] samples:  90100 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 5080/3583 | 0.80 games/s | ETA: 1492s
[gpu0] [1803/3000] samples:  90150 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4660/3583 | 0.80 games/s | ETA: 1490s
[gpu0] [1804/3000] samples:  90200 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2960/3583 | 0.80 games/s | ETA: 1488s
[gpu0] [1805/3000] samples:  90250 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2560/3582 | 0.80 games/s | ETA: 1486s
[gpu0] [1806/3000] samples:  90300 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3840/3583 | 0.80 games/s | ETA: 1484s
[gpu0] [1807/3000] samples:  90350 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4190/3583 | 0.81 games/s | ETA: 1482s
[gpu0] [1809/3000] samples:  90450 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4420/3583 | 0.81 games/s | ETA: 1478s
[gpu0] [1810/3000] samples:  90500 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3000/3583 | 0.81 games/s | ETA: 1476s
[gpu0] [1812/3000] samples:  90600 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3240/3582 | 0.81 games/s | ETA: 1472s
[gpu0] [1808/3000] samples:  90400 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3290/3583 | 0.81 games/s | ETA: 1480s
[gpu0] [1811/3000] samples:  90550 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2940/3582 | 0.81 games/s | ETA: 1474s
[gpu0] [1813/3000] samples:  90650 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2380/3582 | 0.81 games/s | ETA: 1470s
[gpu0] [1814/3000] samples:  90700 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4640/3582 | 0.81 games/s | ETA: 1468s
[gpu0] [1815/3000] samples:  90750 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3770/3582 | 0.81 games/s | ETA: 1465s
[gpu0] [1816/3000] samples:  90800 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3780/3582 | 0.81 games/s | ETA: 1463s
[gpu0] [1817/3000] samples:  90850 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3280/3582 | 0.81 games/s | ETA: 1461s
[gpu0] [1818/3000] samples:  90900 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 5980/3584 | 0.81 games/s | ETA: 1459s
[gpu0] [1819/3000] samples:  90950 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3630/3584 | 0.81 games/s | ETA: 1457s
[gpu0] [1820/3000] samples:  91000 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3250/3583 | 0.81 games/s | ETA: 1455s
[gpu0] [1821/3000] samples:  91050 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3460/3583 | 0.81 games/s | ETA: 1453s
[gpu0] [1822/3000] samples:  91100 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2980/3583 | 0.81 games/s | ETA: 1451s
[gpu0] [1823/3000] samples:  91150 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3700/3583 | 0.81 games/s | ETA: 1449s
[gpu0] [1824/3000] samples:  91200 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4040/3583 | 0.81 games/s | ETA: 1447s
[gpu0] [1825/3000] samples:  91250 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4180/3584 | 0.81 games/s | ETA: 1445s
[gpu0] [1826/3000] samples:  91300 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3490/3584 | 0.81 games/s | ETA: 1443s
[gpu0] [1827/3000] samples:  91350 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4080/3584 | 0.81 games/s | ETA: 1441s
[gpu0] [1828/3000] samples:  91400 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 2800/3583 | 0.81 games/s | ETA: 1439s
[gpu0] [1829/3000] samples:  91450 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3860/3584 | 0.81 games/s | ETA: 1437s
[gpu0] [1830/3000] samples:  91500 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3740/3584 | 0.82 games/s | ETA: 1435s
[gpu0] [1831/3000] samples:  91550 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2500/3583 | 0.82 games/s | ETA: 1433s
[gpu0] [1832/3000] samples:  91600 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4420/3584 | 0.82 games/s | ETA: 1431s
[gpu0] [1833/3000] samples:  91650 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3300/3583 | 0.82 games/s | ETA: 1429s
[gpu0] [1834/3000] samples:  91700 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2230/3583 | 0.82 games/s | ETA: 1427s
[gpu0] [1835/3000] samples:  91750 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3660/3583 | 0.82 games/s | ETA: 1425s
[gpu0] [1836/3000] samples:  91800 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3340/3583 | 0.82 games/s | ETA: 1423s
[gpu0] [1837/3000] samples:  91850 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4320/3583 | 0.82 games/s | ETA: 1421s
[gpu0] [1838/3000] samples:  91900 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 5300/3584 | 0.82 games/s | ETA: 1419s
[gpu0] [1839/3000] samples:  91950 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2830/3583 | 0.82 games/s | ETA: 1417s
[gpu0] [1840/3000] samples:  92000 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4500/3584 | 0.82 games/s | ETA: 1415s
[gpu0] [1841/3000] samples:  92050 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3060/3584 | 0.82 games/s | ETA: 1413s
[gpu0] [1842/3000] samples:  92100 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3720/3584 | 0.82 games/s | ETA: 1411s
[gpu0] [1843/3000] samples:  92150 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3380/3584 | 0.82 games/s | ETA: 1409s
[gpu0] [1844/3000] samples:  92200 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3320/3584 | 0.82 games/s | ETA: 1407s
[gpu0] [1845/3000] samples:  92250 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3840/3584 | 0.82 games/s | ETA: 1405s
[gpu0] [1846/3000] samples:  92300 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3820/3584 | 0.82 games/s | ETA: 1403s
[gpu0] [1847/3000] samples:  92350 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2440/3583 | 0.82 games/s | ETA: 1401s
[gpu0] [1848/3000] samples:  92400 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3300/3583 | 0.82 games/s | ETA: 1399s
[gpu0] [1849/3000] samples:  92450 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3420/3583 | 0.82 games/s | ETA: 1397s
[gpu0] [1850/3000] samples:  92500 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4120/3583 | 0.82 games/s | ETA: 1395s
[gpu0] [1851/3000] samples:  92550 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3590/3583 | 0.82 games/s | ETA: 1393s
[gpu0] [1852/3000] samples:  92600 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3360/3583 | 0.83 games/s | ETA: 1391s
[gpu0] [1853/3000] samples:  92650 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4080/3583 | 0.83 games/s | ETA: 1389s
[gpu0] [1854/3000] samples:  92700 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2460/3583 | 0.83 games/s | ETA: 1387s
[gpu0] [1855/3000] samples:  92750 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2580/3582 | 0.83 games/s | ETA: 1386s
[gpu0] [1856/3000] samples:  92800 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2500/3582 | 0.83 games/s | ETA: 1384s
[gpu0] [1857/3000] samples:  92850 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3070/3581 | 0.83 games/s | ETA: 1382s
[gpu0] [1858/3000] samples:  92900 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3360/3581 | 0.83 games/s | ETA: 1380s
[gpu0] [1859/3000] samples:  92950 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4020/3581 | 0.83 games/s | ETA: 1378s
[gpu0] [1860/3000] samples:  93000 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4160/3582 | 0.83 games/s | ETA: 1376s
[gpu0] [1861/3000] samples:  93050 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4260/3582 | 0.83 games/s | ETA: 1374s
[gpu0] [1862/3000] samples:  93100 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3470/3582 | 0.83 games/s | ETA: 1372s
[gpu0] [1863/3000] samples:  93150 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3710/3582 | 0.83 games/s | ETA: 1370s
[gpu0] [1864/3000] samples:  93200 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3620/3582 | 0.83 games/s | ETA: 1368s
[gpu0] [1865/3000] samples:  93250 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3600/3582 | 0.83 games/s | ETA: 1366s
[gpu0] [1866/3000] samples:  93300 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3700/3582 | 0.83 games/s | ETA: 1364s
[gpu0] [1867/3000] samples:  93350 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3240/3582 | 0.83 games/s | ETA: 1362s
[gpu0] [1868/3000] samples:  93400 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2960/3582 | 0.83 games/s | ETA: 1360s
[gpu0] [1869/3000] samples:  93450 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3800/3582 | 0.83 games/s | ETA: 1358s
[gpu0] [1870/3000] samples:  93500 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2720/3581 | 0.83 games/s | ETA: 1356s
[gpu0] [1871/3000] samples:  93550 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3560/3581 | 0.83 games/s | ETA: 1354s
[gpu0] [1872/3000] samples:  93600 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3400/3581 | 0.83 games/s | ETA: 1353s
[gpu0] [1873/3000] samples:  93650 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 5400/3582 | 0.83 games/s | ETA: 1351s
[gpu0] [1874/3000] samples:  93700 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3850/3582 | 0.83 games/s | ETA: 1349s
[gpu0] [1875/3000] samples:  93750 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4120/3583 | 0.84 games/s | ETA: 1347s
