[2026-04-07 14:11:58] Pre-building release binaries...
    Finished `release` profile [optimized] target(s) in 0.31s
[2026-04-07 14:11:59] === AlphaZero Loop Start (branch=rtx5090-4, run_dir=runs/rtx5090-4, iteration=1, games=3000x1gpu, sims=512+0/iter, max=512, min_chain=0, threads=1024) ===
[2026-04-07 14:11:59] --- Iteration 1 (sims=512, global_step=0) ---
[2026-04-07 14:11:59] Self-play start (m=24, c_visit=50.0, num_gpus=1, games_per_gpu=3000, total=3000)
[gpu0]     Finished `release` profile [optimized] target(s) in 0.30s
[gpu0]      Running `target/release/self-play --games 3000 --simulations 512 --c-puct-init 1.5 --c-puct-base 19652.0 --m 24 --c-visit 50.0 --gamma 0.95 --min-chain 0 --threads 1024 --batch-size 4096 --num-leaves 1 --model-path runs/rtx5090-4/artifacts/puyo_model --cols 6 --rows 14 --num-colors 4 --residual-channels 256 --num-blocks 6 --policy-conv-channels 2 --value-conv-channels 1 --value-hidden 256 --film-hidden 256 --output runs/rtx5090-4/data/alphazero_iter_1_gpu0.bin`
[gpu0] games=3000, simulations=512, c_puct_init=1.5, c_puct_base=19652, m=24, c_visit=50, gamma=0.95, num_leaves=1, min_chain=0
[gpu0] Game config: cols=6, rows=14, num_colors=4, residual_channels=256, num_blocks=6, policy_conv_ch=2, value_conv_ch=1, value_hidden=256, film_hidden=256
[gpu0] Backend: Cuda (GPU) — Gumbel MCTS self-play (batched)
[gpu0] Failed to load model from runs/rtx5090-4/artifacts/puyo_model: FileNotFound("No such file or directory (os error 2)"). Initializing random weights
[gpu0] Using 1024 game threads, max_batch_size=4096
[gpu0] [ 102/3000] samples:   5100 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2700/3536 | 0.09 games/s | ETA: 31958s
[gpu0] [ 103/3000] samples:   5150 | chain(game/max/avg): 2/5/2.4 | reward(game/avg): 3440/3535 | 0.09 games/s | ETA: 31637s
[gpu0] [ 104/3000] samples:   5200 | chain(game/max/avg): 2/5/2.4 | reward(game/avg): 3400/3534 | 0.09 games/s | ETA: 31322s
[gpu0] [ 105/3000] samples:   5250 | chain(game/max/avg): 3/5/2.4 | reward(game/avg): 5560/3553 | 0.09 games/s | ETA: 31013s
[gpu0] [ 106/3000] samples:   5300 | chain(game/max/avg): 2/5/2.4 | reward(game/avg): 3690/3555 | 0.09 games/s | ETA: 30710s
[gpu0] [ 107/3000] samples:   5350 | chain(game/max/avg): 3/5/2.4 | reward(game/avg): 3680/3556 | 0.10 games/s | ETA: 30412s
[gpu0] [ 108/3000] samples:   5400 | chain(game/max/avg): 2/5/2.4 | reward(game/avg): 3340/3554 | 0.10 games/s | ETA: 30120s
[gpu0] [ 109/3000] samples:   5450 | chain(game/max/avg): 3/5/2.4 | reward(game/avg): 4180/3560 | 0.10 games/s | ETA: 29833s
[gpu0] [ 110/3000] samples:   5500 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3600/3560 | 0.10 games/s | ETA: 29552s
[gpu0] [ 111/3000] samples:   5550 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 2530/3551 | 0.10 games/s | ETA: 29276s
[gpu0] [ 112/3000] samples:   5600 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3700/3552 | 0.10 games/s | ETA: 29005s
[gpu0] [ 113/3000] samples:   5650 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3080/3548 | 0.10 games/s | ETA: 28739s
[gpu0] [ 114/3000] samples:   5700 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4560/3557 | 0.10 games/s | ETA: 28477s
[gpu0] [ 115/3000] samples:   5750 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2320/3546 | 0.10 games/s | ETA: 28219s
[gpu0] [ 116/3000] samples:   5800 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4240/3552 | 0.10 games/s | ETA: 27966s
[gpu0] [ 117/3000] samples:   5850 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3360/3550 | 0.10 games/s | ETA: 27718s
[gpu0] [ 118/3000] samples:   5900 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4040/3554 | 0.10 games/s | ETA: 27473s
[gpu0] [ 119/3000] samples:   5950 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3600/3555 | 0.11 games/s | ETA: 27233s
[gpu0] [ 120/3000] samples:   6000 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3020/3550 | 0.11 games/s | ETA: 26997s
[gpu0] [ 121/3000] samples:   6050 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2560/3542 | 0.11 games/s | ETA: 26764s
[gpu0] [ 122/3000] samples:   6100 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2360/3532 | 0.11 games/s | ETA: 26536s
[gpu0] [ 123/3000] samples:   6150 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3400/3531 | 0.11 games/s | ETA: 26311s
[gpu0] [ 124/3000] samples:   6200 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 4340/3538 | 0.11 games/s | ETA: 26089s
[gpu0] [ 125/3000] samples:   6250 | chain(game/max/avg): 5/5/2.5 | reward(game/avg): 7580/3570 | 0.11 games/s | ETA: 25872s
[gpu0] [ 126/3000] samples:   6300 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2420/3561 | 0.11 games/s | ETA: 25657s
[gpu0] [ 127/3000] samples:   6350 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4500/3569 | 0.11 games/s | ETA: 25447s
[gpu0] [ 128/3000] samples:   6400 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4340/3575 | 0.11 games/s | ETA: 25239s
[gpu0] [ 129/3000] samples:   6450 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2500/3566 | 0.11 games/s | ETA: 25035s
[gpu0] [ 130/3000] samples:   6500 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3480/3566 | 0.12 games/s | ETA: 24833s
[gpu0] [ 131/3000] samples:   6550 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 5020/3577 | 0.12 games/s | ETA: 24635s
[gpu0] [ 132/3000] samples:   6600 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3980/3580 | 0.12 games/s | ETA: 24440s
[gpu0] [ 133/3000] samples:   6650 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4420/3586 | 0.12 games/s | ETA: 24248s
[gpu0] [ 134/3000] samples:   6700 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4760/3595 | 0.12 games/s | ETA: 24059s
[gpu0] [ 135/3000] samples:   6750 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2680/3588 | 0.12 games/s | ETA: 23872s
[gpu0] [ 136/3000] samples:   6800 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3770/3589 | 0.12 games/s | ETA: 23688s
[gpu0] [ 137/3000] samples:   6850 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3860/3591 | 0.12 games/s | ETA: 23507s
[gpu0] [ 138/3000] samples:   6900 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2580/3584 | 0.12 games/s | ETA: 23329s
[gpu0] [ 139/3000] samples:   6950 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3160/3581 | 0.12 games/s | ETA: 23153s
[gpu0] [ 140/3000] samples:   7000 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3240/3578 | 0.12 games/s | ETA: 22979s
[gpu0] [ 141/3000] samples:   7050 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2900/3574 | 0.13 games/s | ETA: 22808s
[gpu0] [ 142/3000] samples:   7100 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2580/3567 | 0.13 games/s | ETA: 22640s
[gpu0] [ 143/3000] samples:   7150 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3340/3565 | 0.13 games/s | ETA: 22474s
[gpu0] [ 144/3000] samples:   7200 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 2680/3559 | 0.13 games/s | ETA: 22310s
[gpu0] [ 145/3000] samples:   7250 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3940/3562 | 0.13 games/s | ETA: 22148s
[gpu0] [ 146/3000] samples:   7300 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3680/3562 | 0.13 games/s | ETA: 21989s
[gpu0] [ 147/3000] samples:   7350 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3900/3565 | 0.13 games/s | ETA: 21831s
[gpu0] [ 148/3000] samples:   7400 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4260/3569 | 0.13 games/s | ETA: 21676s
