[2026-04-06 17:58:46] --- Iteration 101 (sims=512, global_step=100000) ---
[2026-04-06 17:58:46] Self-play start (m=24, c_visit=50.0, num_gpus=1, games_per_gpu=1000, total=1000)
[gpu0]     Finished `release` profile [optimized] target(s) in 0.30s
[gpu0]      Running `target/release/self-play --games 1000 --simulations 512 --c-puct-init 1.5 --c-puct-base 19652.0 --m 24 --c-visit 50.0 --gamma 0.95 --min-chain 0 --threads 512 --batch-size 2048 --num-leaves 1 --model-path runs/rtx5090-3/artifacts/puyo_model --cols 6 --rows 14 --num-colors 4 --residual-channels 128 --num-blocks 6 --policy-conv-channels 2 --value-conv-channels 1 --value-hidden 64 --film-hidden 128 --output runs/rtx5090-3/data/alphazero_iter_101_gpu0.bin`
[gpu0] games=1000, simulations=512, c_puct_init=1.5, c_puct_base=19652, m=24, c_visit=50, gamma=0.95, num_leaves=1, min_chain=0
[gpu0] Game config: cols=6, rows=14, num_colors=4, residual_channels=128, num_blocks=6, policy_conv_ch=2, value_conv_ch=1, value_hidden=64, film_hidden=128
[gpu0] Backend: Cuda (GPU) — Gumbel MCTS self-play (batched)
[gpu0] Loaded existing model from runs/rtx5090-3/artifacts/puyo_model
[gpu0] Using 512 game threads, max_batch_size=2048
[gpu0] [  57/1000] samples:   2850 | chain(game/max/avg): 6/9/6.2 | reward(game/avg): 18320/22285 | 0.25 games/s | ETA: 3723s
[gpu0] [  58/1000] samples:   2900 | chain(game/max/avg): 6/9/6.2 | reward(game/avg): 24200/22318 | 0.26 games/s | ETA: 3655s
[gpu0] [  59/1000] samples:   2950 | chain(game/max/avg): 6/9/6.2 | reward(game/avg): 19200/22265 | 0.26 games/s | ETA: 3590s
[gpu0] [  60/1000] samples:   3000 | chain(game/max/avg): 5/9/6.2 | reward(game/avg): 11780/22090 | 0.27 games/s | ETA: 3526s
[gpu0] [  61/1000] samples:   3050 | chain(game/max/avg): 6/9/6.2 | reward(game/avg): 19120/22042 | 0.27 games/s | ETA: 3465s
[gpu0] [  62/1000] samples:   3100 | chain(game/max/avg): 6/9/6.2 | reward(game/avg): 16520/21953 | 0.28 games/s | ETA: 3405s
[gpu0] [  63/1000] samples:   3150 | chain(game/max/avg): 6/9/6.2 | reward(game/avg): 16440/21865 | 0.28 games/s | ETA: 3348s
[gpu0] [  64/1000] samples:   3200 | chain(game/max/avg): 5/9/6.2 | reward(game/avg): 13400/21733 | 0.28 games/s | ETA: 3292s
[gpu0] [  65/1000] samples:   3250 | chain(game/max/avg): 4/9/6.1 | reward(game/avg): 14040/21614 | 0.29 games/s | ETA: 3238s
[gpu0] [  66/1000] samples:   3300 | chain(game/max/avg): 5/9/6.1 | reward(game/avg): 13820/21496 | 0.29 games/s | ETA: 3185s
[gpu0] [  67/1000] samples:   3350 | chain(game/max/avg): 6/9/6.1 | reward(game/avg): 25720/21559 | 0.30 games/s | ETA: 3135s
[gpu0] [  68/1000] samples:   3400 | chain(game/max/avg): 5/9/6.1 | reward(game/avg): 9290/21379 | 0.30 games/s | ETA: 3085s
[gpu0] [  69/1000] samples:   3450 | chain(game/max/avg): 4/9/6.1 | reward(game/avg): 10610/21223 | 0.31 games/s | ETA: 3037s
[gpu0] [  70/1000] samples:   3500 | chain(game/max/avg): 4/9/6.0 | reward(game/avg): 11090/21078 | 0.31 games/s | ETA: 2991s
[gpu0] [  71/1000] samples:   3550 | chain(game/max/avg): 5/9/6.0 | reward(game/avg): 19550/21057 | 0.32 games/s | ETA: 2945s
[gpu0] [  72/1000] samples:   3600 | chain(game/max/avg): 4/9/6.0 | reward(game/avg): 11780/20928 | 0.32 games/s | ETA: 2901s
[gpu0] [  73/1000] samples:   3650 | chain(game/max/avg): 5/9/6.0 | reward(game/avg): 12820/20817 | 0.32 games/s | ETA: 2859s
[gpu0] [  74/1000] samples:   3700 | chain(game/max/avg): 5/9/6.0 | reward(game/avg): 13860/20723 | 0.33 games/s | ETA: 2817s
[gpu0] [  75/1000] samples:   3750 | chain(game/max/avg): 5/9/6.0 | reward(game/avg): 12760/20617 | 0.33 games/s | ETA: 2776s
[gpu0] [  76/1000] samples:   3800 | chain(game/max/avg): 5/9/5.9 | reward(game/avg): 12510/20510 | 0.34 games/s | ETA: 2737s
[gpu0] [  78/1000] samples:   3900 | chain(game/max/avg): 5/9/5.9 | reward(game/avg): 14030/20384 | 0.35 games/s | ETA: 2661s
[gpu0] [  77/1000] samples:   3850 | chain(game/max/avg): 5/9/5.9 | reward(game/avg): 17200/20467 | 0.34 games/s | ETA: 2698s
[gpu0] [  79/1000] samples:   3950 | chain(game/max/avg): 6/9/5.9 | reward(game/avg): 26050/20456 | 0.35 games/s | ETA: 2624s
[gpu0] [  80/1000] samples:   4000 | chain(game/max/avg): 5/9/5.9 | reward(game/avg): 9630/20321 | 0.36 games/s | ETA: 2589s
[gpu0] [  81/1000] samples:   4050 | chain(game/max/avg): 6/9/5.9 | reward(game/avg): 20180/20319 | 0.36 games/s | ETA: 2554s
[gpu0] [  82/1000] samples:   4100 | chain(game/max/avg): 7/9/5.9 | reward(game/avg): 25090/20377 | 0.36 games/s | ETA: 2520s
[gpu0] [  83/1000] samples:   4150 | chain(game/max/avg): 5/9/5.9 | reward(game/avg): 18360/20353 | 0.37 games/s | ETA: 2487s
[gpu0] [  84/1000] samples:   4200 | chain(game/max/avg): 5/9/5.9 | reward(game/avg): 13260/20268 | 0.37 games/s | ETA: 2455s
[gpu0] [  85/1000] samples:   4250 | chain(game/max/avg): 6/9/5.9 | reward(game/avg): 25920/20335 | 0.38 games/s | ETA: 2423s
