[2026-04-05 05:00:44] === AlphaZero Loop Start (branch=develop, run_dir=runs/develop, iteration=401, games=300, sims=64+0/iter, max=64, min_chain=0, threads=128) ===
[2026-04-05 05:00:44] --- Iteration 401 (sims=64, global_step=400000) ---
[2026-04-05 05:00:44] Self-play start (m=16, c_visit=50.0)
    Finished `release` profile [optimized] target(s) in 6.80s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --c-puct-base 19652.0 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --threads 128 --batch-size 512 --num-leaves 1 --model-path runs/develop/artifacts/puyo_model --cols 3 --rows 8 --num-colors 3 --residual-channels 64 --num-blocks 6 --policy-conv-channels 2 --value-conv-channels 1 --value-hidden 64 --film-hidden 128 --output runs/develop/data/alphazero_iter_401.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95, num_leaves=1, min_chain=0
Game config: cols=3, rows=8, num_colors=3, residual_channels=64, num_blocks=6, policy_conv_ch=2, value_conv_ch=1, value_hidden=64, film_hidden=128
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Loaded existing model from runs/develop/artifacts/puyo_model
Using 128 game threads, max_batch_size=512
[  98/300] samples:   4815 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9960/8488 | 5.15 games/s | ETA: 39s
[  99/300] samples:   4865 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 7460/8478 | 5.19 games/s | ETA: 39s
[ 100/300] samples:   4915 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9920/8492 | 5.25 games/s | ETA: 38s
[ 101/300] samples:   4965 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 7950/8487 | 4.77 games/s | ETA: 42s
[ 102/300] samples:   5010 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 4360/8447 | 3.75 games/s | ETA: 53s
[ 103/300] samples:   5060 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 8120/8443 | 3.68 games/s | ETA: 54s
[ 104/300] samples:   5110 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9880/8457 | 3.65 games/s | ETA: 54s
[ 105/300] samples:   5160 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 11440/8486 | 3.27 games/s | ETA: 60s
[ 106/300] samples:   5210 | chain(game/max/avg): 5/5/3.7 | reward(game/avg): 10470/8504 | 3.19 games/s | ETA: 61s
[ 107/300] samples:   5260 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9860/8517 | 3.22 games/s | ETA: 60s
[ 108/300] samples:   5310 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 10200/8533 | 3.23 games/s | ETA: 59s
[ 109/300] samples:   5360 | chain(game/max/avg): 5/5/3.7 | reward(game/avg): 8930/8536 | 3.25 games/s | ETA: 59s
[ 110/300] samples:   5410 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8040/8532 | 3.28 games/s | ETA: 58s
[ 111/300] samples:   5460 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 5500/8505 | 3.31 games/s | ETA: 57s
[ 112/300] samples:   5510 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9780/8516 | 3.34 games/s | ETA: 56s
[ 113/300] samples:   5560 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9660/8526 | 3.35 games/s | ETA: 56s
[ 114/300] samples:   5610 | chain(game/max/avg): 5/5/3.7 | reward(game/avg): 11660/8554 | 3.37 games/s | ETA: 55s
[ 115/300] samples:   5660 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8400/8552 | 3.40 games/s | ETA: 54s
[ 116/300] samples:   5710 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 10670/8570 | 3.43 games/s | ETA: 54s
[ 117/300] samples:   5760 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 10040/8583 | 3.45 games/s | ETA: 53s
[ 118/300] samples:   5810 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 7900/8577 | 3.48 games/s | ETA: 52s
[ 119/300] samples:   5860 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 11460/8601 | 3.51 games/s | ETA: 52s
[ 120/300] samples:   5910 | chain(game/max/avg): 5/5/3.8 | reward(game/avg): 11340/8624 | 3.53 games/s | ETA: 51s
[ 121/300] samples:   5960 | chain(game/max/avg): 3/5/3.8 | reward(game/avg): 7900/8618 | 3.56 games/s | ETA: 50s
[ 122/300] samples:   6010 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 7220/8607 | 3.59 games/s | ETA: 50s
[ 123/300] samples:   6060 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 9470/8614 | 3.59 games/s | ETA: 49s
[ 124/300] samples:   6110 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 9260/8619 | 3.62 games/s | ETA: 49s
[ 125/300] samples:   6160 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 8980/8622 | 3.65 games/s | ETA: 48s
[ 126/300] samples:   6210 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 8160/8618 | 3.68 games/s | ETA: 47s
[ 127/300] samples:   6260 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 9100/8622 | 3.70 games/s | ETA: 47s
[ 128/300] samples:   6310 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 10220/8635 | 3.73 games/s | ETA: 46s
[ 129/300] samples:   6360 | chain(game/max/avg): 3/5/3.8 | reward(game/avg): 5700/8612 | 3.76 games/s | ETA: 45s
[ 130/300] samples:   6410 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 9600/8619 | 3.79 games/s | ETA: 45s
[ 131/300] samples:   6460 | chain(game/max/avg): 3/5/3.8 | reward(game/avg): 8280/8617 | 3.82 games/s | ETA: 44s
[ 132/300] samples:   6510 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 9480/8623 | 3.85 games/s | ETA: 44s
[ 133/300] samples:   6560 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 10150/8635 | 3.88 games/s | ETA: 43s
[ 134/300] samples:   6610 | chain(game/max/avg): 3/5/3.8 | reward(game/avg): 5820/8614 | 3.89 games/s | ETA: 43s
[ 135/300] samples:   6660 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 7520/8606 | 3.92 games/s | ETA: 42s
[ 136/300] samples:   6710 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 9380/8611 | 3.95 games/s | ETA: 42s
[ 137/300] samples:   6760 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 11940/8636 | 3.98 games/s | ETA: 41s
[ 138/300] samples:   6810 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 10880/8652 | 4.00 games/s | ETA: 40s
[ 139/300] samples:   6860 | chain(game/max/avg): 3/5/3.8 | reward(game/avg): 7240/8642 | 4.03 games/s | ETA: 40s
[ 140/300] samples:   6910 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 9110/8645 | 4.05 games/s | ETA: 39s
[ 141/300] samples:   6960 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 9380/8650 | 4.08 games/s | ETA: 39s
[ 142/300] samples:   7010 | chain(game/max/avg): 3/5/3.8 | reward(game/avg): 7780/8644 | 4.11 games/s | ETA: 38s
[ 143/300] samples:   7060 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 6200/8627 | 4.14 games/s | ETA: 38s
[ 144/300] samples:   7110 | chain(game/max/avg): 4/5/3.8 | reward(game/avg): 10780/8642 | 4.17 games/s | ETA: 37s
[ 145/300] samples:   7160 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 8350/8640 | 4.20 games/s | ETA: 37s
[ 146/300] samples:   7210 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9380/8645 | 4.22 games/s | ETA: 36s
[ 147/300] samples:   7260 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8520/8644 | 4.25 games/s | ETA: 36s
[ 148/300] samples:   7310 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 8180/8641 | 4.28 games/s | ETA: 36s
[ 149/300] samples:   7360 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 8180/8638 | 4.31 games/s | ETA: 35s
[ 150/300] samples:   7410 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 7860/8633 | 4.33 games/s | ETA: 35s
[ 151/300] samples:   7460 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 8020/8629 | 4.36 games/s | ETA: 34s
[ 152/300] samples:   7510 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 7940/8624 | 4.39 games/s | ETA: 34s
[ 153/300] samples:   7560 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 10700/8638 | 4.42 games/s | ETA: 33s
[ 154/300] samples:   7610 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 7640/8631 | 4.45 games/s | ETA: 33s
[ 155/300] samples:   7660 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 6980/8621 | 4.48 games/s | ETA: 32s
[ 156/300] samples:   7710 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8980/8623 | 4.50 games/s | ETA: 32s
[ 157/300] samples:   7760 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 11470/8641 | 4.53 games/s | ETA: 32s
[ 158/300] samples:   7810 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9400/8646 | 4.56 games/s | ETA: 31s
[ 159/300] samples:   7860 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 6640/8633 | 4.58 games/s | ETA: 31s
[ 160/300] samples:   7910 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 7480/8626 | 4.61 games/s | ETA: 30s
[ 161/300] samples:   7960 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 7740/8621 | 4.64 games/s | ETA: 30s
[ 162/300] samples:   8010 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 7100/8611 | 4.67 games/s | ETA: 30s
[ 163/300] samples:   8060 | chain(game/max/avg): 5/5/3.7 | reward(game/avg): 10340/8622 | 4.69 games/s | ETA: 29s
[ 164/300] samples:   8110 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9360/8626 | 4.72 games/s | ETA: 29s
[ 165/300] samples:   8160 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 6720/8615 | 4.74 games/s | ETA: 28s
[ 166/300] samples:   8210 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9600/8621 | 4.77 games/s | ETA: 28s
[ 167/300] samples:   8260 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 10620/8633 | 4.80 games/s | ETA: 28s
[ 168/300] samples:   8310 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8980/8635 | 4.82 games/s | ETA: 27s
[ 169/300] samples:   8360 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 7480/8628 | 4.85 games/s | ETA: 27s
